id,commonName,scientificName,state,latitude,longitude,eventDate,sex
fd8c93c6-e5ae-4f61-943f-2f0099f4b4b1,Platypus,Ornithorhynchus anatinus,Victoria,-37.168245681,148.930295624,1980-01-01,
fa2519f1-7da7-4175-b994-87e7c9beebb4,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Male
f2ef1135-1e93-4cf4-aec7-cfe9128ce531,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Female
ef612034-29e8-455e-ae59-b500c5597ac7,Platypus,Ornithorhynchus anatinus,Victoria,-36.35,146.32,,Male
ef4c64ba-22ca-4d3f-995e-964ea40a2caf,Platypus,Ornithorhynchus anatinus,Victoria,-35.92,145.65,,Female
ef4c07c5-d007-4ca6-9c86-696da4becc07,Platypus,Ornithorhynchus anatinus,Victoria,-37.7,145.52,,Female
e8b70031-d84b-4343-872f-e92264182840,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Female
e32e2e49-cb36-40b1-8ddb-2863d6f99fc3,Platypus,Ornithorhynchus anatinus,Victoria,-36.35,146.32,,Female
e2ba34f8-7353-46fd-a173-31177707f47c,Platypus,Ornithorhynchus anatinus,Victoria,-35.960016264,147.767368796,1980-01-01,
df7db3be-75b0-476c-915a-59049ca3e091,Platypus,Ornithorhynchus anatinus,Victoria,-37.27,145.87,,Female
de927d69-1ecd-4de1-a112-90f7c8f10969,Platypus,Ornithorhynchus anatinus,Victoria,-37.7,145.52,,Female
dda9f790-443b-470b-a61e-c2763f1b59b2,Platypus,Ornithorhynchus anatinus,Victoria,-35.35,143.55,,Female
dba59d69-a5ca-4017-8c95-3fd4bf4586a1,Platypus,Ornithorhynchus anatinus,Victoria,-36.35,146.32,,Unknown
db6199c3-bab8-44a6-ac92-00edad1c840e,Platypus,Ornithorhynchus anatinus,Victoria,-38.25,143.98,,Male
db0ec782-ad69-402c-bc17-4e988030b1e5,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Male
da400881-f46c-4409-8243-56de4ceb31fb,Platypus,Ornithorhynchus anatinus,Victoria,-37.58,144.72,,Female
d87d8620-a829-47ec-b35b-45f35eaf841f,Platypus,Ornithorhynchus anatinus,Victoria,-37.7,145.53,,Unknown
d345b091-bfdb-474d-b8a7-13222e8d9055,Platypus,Ornithorhynchus anatinus,Victoria,-37.58,144.72,,Unknown
d050f252-1388-4341-a48d-0295c095db96,Platypus,Ornithorhynchus anatinus,Victoria,-37.88,145.37,,Unknown
cebedae3-3975-4a9a-a9c7-92f36d21547b,Platypus,Ornithorhynchus anatinus,Victoria,-37.85,144.92,,Female
ce4b7502-7f36-4e8f-bc1f-20db45dd07b6,Platypus,Ornithorhynchus anatinus,Victoria,-37.28,143.65,,Female
cdf926d8-5198-4100-accf-9ecc133f588c,Platypus,Ornithorhynchus anatinus,Victoria,-37.73,144.65,,Male
ca271d0d-cd71-425e-8957-761a935416d8,Platypus,Ornithorhynchus anatinus,Victoria,-37.78,144.92,,Male
c7280011-398b-4af7-8389-39a317ae4853,Platypus,Ornithorhynchus anatinus,Victoria,-38.57,143.7,,Male
c4d2e117-46f3-494b-8a98-b3c785ad3aaa,Platypus,Ornithorhynchus anatinus,Victoria,-36.05,146.17,,Male
c2ad5061-4f33-4b62-bdf6-c311d541ea8f,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.15,,Male
c281b405-0750-4fb8-aab6-80e0ae7172aa,Platypus,Ornithorhynchus anatinus,Victoria,-36.02,146,,Female
c279c1e0-3266-4322-837a-c9a86222384b,Platypus,Ornithorhynchus anatinus,Victoria,-37.42,145.7,,Male
c2240770-049a-4b9f-83dc-b5e9db68ecb2,Platypus,Ornithorhynchus anatinus,Victoria,-38.6167,143.6833,,
c0d49115-d7df-4b40-a207-a4bf32f18d99,Platypus,Ornithorhynchus anatinus,Victoria,-36.35,146.32,,Unknown
c00acd44-e69f-4b8c-bc1d-0c27826c2621,Platypus,Ornithorhynchus anatinus,Victoria,-35.987603662,147.844575242,1980-01-01,
be5eb174-9231-442a-a16b-0628858c55d0,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Male
bc7d4abf-8b2b-41a9-a79f-bea775cd55d3,Platypus,Ornithorhynchus anatinus,Victoria,-38.25,143.98,,Female
bb599a3c-e57b-46c6-9795-3eacc759dbdf,Platypus,Ornithorhynchus anatinus,Victoria,-38.2,146.53,,Unknown
b97d730d-1111-43c1-a2b9-fb0eb38732b6,Platypus,Ornithorhynchus anatinus,Victoria,-37.0207,145.1062,,
b927ce69-caa6-4f55-9db6-62dd434e7dd7,Platypus,Ornithorhynchus anatinus,Victoria,-37.58,144.72,,Female
b838f569-abfe-4b0e-9164-74ebe195c4f6,Platypus,Ornithorhynchus anatinus,Victoria,-38.03,142.62,,Male
b61e4b25-fdd1-40ab-9673-39c5770b2236,Platypus,Ornithorhynchus anatinus,Victoria,-37.2003,145.6855,,
b6039992-56bd-484b-866c-43b645d8d330,Platypus,Ornithorhynchus anatinus,Victoria,-37.82,145.05,,Female
b3a62724-ce90-4dd3-a7d7-866ca0eb0882,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Unknown
b33b1bd4-beb6-4c58-96ea-28ee170f7da2,Platypus,Ornithorhynchus anatinus,Victoria,-36.107065421,147.421634186,2004-07-01,
b21ec383-4b35-426d-854a-8b35f38b1b58,Platypus,Ornithorhynchus anatinus,Victoria,-37.1987,145.6841,,
af71992b-852c-4443-bbae-4a44492491d6,Platypus,Ornithorhynchus anatinus,Victoria,-37.8,145.03,,Unknown
9fa46215-6988-45c4-a627-e4daf626206c,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Male
93f98ef7-9d68-493b-9843-120cec09e103,Platypus,Ornithorhynchus anatinus,Victoria,-36.47,147.25,,Male
908cd078-922a-47a9-a658-f156d6f66b5b,Platypus,Ornithorhynchus anatinus,Victoria,-36.35,146.32,,Male
90153bf8-b672-417e-8418-956ffe239ea7,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Unknown
8e57c19f-ebfb-4904-895f-67c9797b38e7,Platypus,Ornithorhynchus anatinus,Victoria,-37.37,143.95,,Female
8d8b6437-40df-4d98-9a36-e4708ac9bbba,Platypus,Ornithorhynchus anatinus,Victoria,-37.58,144.73,,Female
8cdcb758-15f1-4a3a-8ea1-ddadba1b011d,Platypus,Ornithorhynchus anatinus,Victoria,-37.78,145.03,,Male
8c61e28c-da02-4948-9341-df17712e859d,Platypus,Ornithorhynchus anatinus,Victoria,-38.03,142.62,,Unknown
896d765e-6be6-48a3-a212-e6a1dd897381,Platypus,Ornithorhynchus anatinus,Victoria,-36,146.533,,Male
84817e06-8d2b-43ad-a766-5b1d6bc22a9f,Platypus,Ornithorhynchus anatinus,Victoria,-37.77,145.35,,Female
844c64cf-8eef-48b2-bd6d-14710bf07cc1,Platypus,Ornithorhynchus anatinus,Victoria,-36.7177,146.9463,,
829b4aed-ce8c-419f-b961-7ffe2f834816,Platypus,Ornithorhynchus anatinus,Victoria,-37.92,146.78,,Unknown
770f7767-a707-40c9-a627-f1b967ca827c,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,146.08,,Male
729af46b-2c30-4d6a-a67a-5194f76e3cdc,Platypus,Ornithorhynchus anatinus,Victoria,-37.72,145.15,,Unknown
6e42365f-9969-42a7-81c3-6b9942fe4a93,Platypus,Ornithorhynchus anatinus,Victoria,-37.8,145.03,,Unknown
6d2062b3-70fb-4e5a-9462-6c9a95c0f6ea,Platypus,Ornithorhynchus anatinus,Victoria,-37.75,143.32,,Female
6cbdc924-5579-40b5-8e96-49ab1f3f6598,Platypus,Ornithorhynchus anatinus,Victoria,-37.58,144.72,,Unknown
6c77b5f7-977c-46da-a97a-7a30fcec4d5e,Platypus,Ornithorhynchus anatinus,Victoria,-37.77,145.35,,Female
656765ab-cc37-4420-898f-ad7caa8b503d,Platypus,Ornithorhynchus anatinus,Victoria,-37.7,145.52,,Male
63ebcc1c-bbe7-407c-89fb-b185b3b8e95b,Platypus,Ornithorhynchus anatinus,Victoria,-36.037,146.3948,,
6386d664-bd31-44ff-be30-7d69a0dcd6b3,Platypus,Ornithorhynchus anatinus,Victoria,-38.35,143.58,,Male
6335fe0b-f665-44e8-9e58-aed46884a58e,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,146.08,,Male
62bd6b35-2f00-49e9-bcf2-01fdc1a525b3,Platypus,Ornithorhynchus anatinus,Victoria,-37.03,145.13,,Female
60725091-6769-46dc-9b7b-3d13642f7aef,Platypus,Ornithorhynchus anatinus,Victoria,-38.57,143.9,,Female
5a9c20de-9983-40dc-83d6-7e085b0ffbd5,Platypus,Ornithorhynchus anatinus,Victoria,-36.02,147.55,,Female
