Sensor,Date_Time,Date,Time,Count
Melbourne Central,2018-12-31T13:00:00Z,2019-01-01,0,NA
Melbourne Central,2018-12-31T14:00:00Z,2019-01-01,1,NA
Melbourne Central,2018-12-31T15:00:00Z,2019-01-01,2,NA
Melbourne Central,2018-12-31T16:00:00Z,2019-01-01,3,NA
Melbourne Central,2018-12-31T17:00:00Z,2019-01-01,4,NA
Melbourne Central,2018-12-31T18:00:00Z,2019-01-01,5,NA
Melbourne Central,2018-12-31T19:00:00Z,2019-01-01,6,NA
Melbourne Central,2018-12-31T20:00:00Z,2019-01-01,7,NA
Melbourne Central,2018-12-31T21:00:00Z,2019-01-01,8,NA
Melbourne Central,2018-12-31T22:00:00Z,2019-01-01,9,NA
Melbourne Central,2018-12-31T23:00:00Z,2019-01-01,10,NA
Melbourne Central,2019-01-01T00:00:00Z,2019-01-01,11,NA
Melbourne Central,2019-01-01T01:00:00Z,2019-01-01,12,NA
Melbourne Central,2019-01-01T02:00:00Z,2019-01-01,13,NA
Melbourne Central,2019-01-01T03:00:00Z,2019-01-01,14,NA
Melbourne Central,2019-01-01T04:00:00Z,2019-01-01,15,NA
Melbourne Central,2019-01-01T05:00:00Z,2019-01-01,16,NA
Melbourne Central,2019-01-01T06:00:00Z,2019-01-01,17,NA
Melbourne Central,2019-01-01T07:00:00Z,2019-01-01,18,NA
Melbourne Central,2019-01-01T08:00:00Z,2019-01-01,19,NA
Melbourne Central,2019-01-01T09:00:00Z,2019-01-01,20,NA
Melbourne Central,2019-01-01T10:00:00Z,2019-01-01,21,NA
Melbourne Central,2019-01-01T11:00:00Z,2019-01-01,22,NA
Melbourne Central,2019-01-01T12:00:00Z,2019-01-01,23,NA
Melbourne Central,2019-01-01T13:00:00Z,2019-01-02,0,NA
Melbourne Central,2019-01-01T14:00:00Z,2019-01-02,1,NA
Melbourne Central,2019-01-01T15:00:00Z,2019-01-02,2,NA
Melbourne Central,2019-01-01T16:00:00Z,2019-01-02,3,NA
Melbourne Central,2019-01-01T17:00:00Z,2019-01-02,4,NA
Melbourne Central,2019-01-01T18:00:00Z,2019-01-02,5,NA
Melbourne Central,2019-01-01T19:00:00Z,2019-01-02,6,NA
Melbourne Central,2019-01-01T20:00:00Z,2019-01-02,7,NA
Melbourne Central,2019-01-01T21:00:00Z,2019-01-02,8,NA
Melbourne Central,2019-01-01T22:00:00Z,2019-01-02,9,NA
Melbourne Central,2019-01-01T23:00:00Z,2019-01-02,10,NA
Melbourne Central,2019-01-02T00:00:00Z,2019-01-02,11,NA
Melbourne Central,2019-01-02T01:00:00Z,2019-01-02,12,NA
Melbourne Central,2019-01-02T02:00:00Z,2019-01-02,13,NA
Melbourne Central,2019-01-02T03:00:00Z,2019-01-02,14,NA
Melbourne Central,2019-01-02T04:00:00Z,2019-01-02,15,NA
Melbourne Central,2019-01-02T05:00:00Z,2019-01-02,16,NA
Melbourne Central,2019-01-02T06:00:00Z,2019-01-02,17,NA
Melbourne Central,2019-01-02T07:00:00Z,2019-01-02,18,NA
Melbourne Central,2019-01-02T08:00:00Z,2019-01-02,19,NA
Melbourne Central,2019-01-02T09:00:00Z,2019-01-02,20,NA
Melbourne Central,2019-01-02T10:00:00Z,2019-01-02,21,NA
Melbourne Central,2019-01-02T11:00:00Z,2019-01-02,22,NA
Melbourne Central,2019-01-02T12:00:00Z,2019-01-02,23,NA
Melbourne Central,2019-01-02T13:00:00Z,2019-01-03,0,NA
Melbourne Central,2019-01-02T14:00:00Z,2019-01-03,1,NA
Melbourne Central,2019-01-02T15:00:00Z,2019-01-03,2,NA
Melbourne Central,2019-01-02T16:00:00Z,2019-01-03,3,NA
Melbourne Central,2019-01-02T17:00:00Z,2019-01-03,4,NA
Melbourne Central,2019-01-02T18:00:00Z,2019-01-03,5,NA
Melbourne Central,2019-01-02T19:00:00Z,2019-01-03,6,NA
Melbourne Central,2019-01-02T20:00:00Z,2019-01-03,7,NA
Melbourne Central,2019-01-02T21:00:00Z,2019-01-03,8,NA
Melbourne Central,2019-01-02T22:00:00Z,2019-01-03,9,NA
Melbourne Central,2019-01-02T23:00:00Z,2019-01-03,10,NA
Melbourne Central,2019-01-03T00:00:00Z,2019-01-03,11,NA
Melbourne Central,2019-01-03T01:00:00Z,2019-01-03,12,NA
Melbourne Central,2019-01-03T02:00:00Z,2019-01-03,13,NA
Melbourne Central,2019-01-03T03:00:00Z,2019-01-03,14,NA
Melbourne Central,2019-01-03T04:00:00Z,2019-01-03,15,NA
Melbourne Central,2019-01-03T05:00:00Z,2019-01-03,16,NA
Melbourne Central,2019-01-03T06:00:00Z,2019-01-03,17,NA
Melbourne Central,2019-01-03T07:00:00Z,2019-01-03,18,NA
Melbourne Central,2019-01-03T08:00:00Z,2019-01-03,19,NA
Melbourne Central,2019-01-03T09:00:00Z,2019-01-03,20,NA
Melbourne Central,2019-01-03T10:00:00Z,2019-01-03,21,NA
Melbourne Central,2019-01-03T11:00:00Z,2019-01-03,22,NA
Melbourne Central,2019-01-03T12:00:00Z,2019-01-03,23,NA
Melbourne Central,2019-01-03T13:00:00Z,2019-01-04,0,NA
Melbourne Central,2019-01-03T14:00:00Z,2019-01-04,1,NA
Melbourne Central,2019-01-03T15:00:00Z,2019-01-04,2,NA
Melbourne Central,2019-01-03T16:00:00Z,2019-01-04,3,NA
Melbourne Central,2019-01-03T17:00:00Z,2019-01-04,4,NA
Melbourne Central,2019-01-03T18:00:00Z,2019-01-04,5,NA
Melbourne Central,2019-01-03T19:00:00Z,2019-01-04,6,NA
Melbourne Central,2019-01-03T20:00:00Z,2019-01-04,7,NA
Melbourne Central,2019-01-03T21:00:00Z,2019-01-04,8,NA
Melbourne Central,2019-01-03T22:00:00Z,2019-01-04,9,NA
Melbourne Central,2019-01-03T23:00:00Z,2019-01-04,10,NA
Melbourne Central,2019-01-04T00:00:00Z,2019-01-04,11,NA
Melbourne Central,2019-01-04T01:00:00Z,2019-01-04,12,NA
Melbourne Central,2019-01-04T02:00:00Z,2019-01-04,13,NA
Melbourne Central,2019-01-04T03:00:00Z,2019-01-04,14,NA
Melbourne Central,2019-01-04T04:00:00Z,2019-01-04,15,NA
Melbourne Central,2019-01-04T05:00:00Z,2019-01-04,16,NA
Melbourne Central,2019-01-04T06:00:00Z,2019-01-04,17,NA
Melbourne Central,2019-01-04T07:00:00Z,2019-01-04,18,NA
Melbourne Central,2019-01-04T08:00:00Z,2019-01-04,19,NA
Melbourne Central,2019-01-04T09:00:00Z,2019-01-04,20,NA
Melbourne Central,2019-01-04T10:00:00Z,2019-01-04,21,NA
Melbourne Central,2019-01-04T11:00:00Z,2019-01-04,22,NA
Melbourne Central,2019-01-04T12:00:00Z,2019-01-04,23,NA
Melbourne Central,2019-01-04T13:00:00Z,2019-01-05,0,296
Melbourne Central,2019-01-04T14:00:00Z,2019-01-05,1,223
Melbourne Central,2019-01-04T15:00:00Z,2019-01-05,2,147
Melbourne Central,2019-01-04T16:00:00Z,2019-01-05,3,93
Melbourne Central,2019-01-04T17:00:00Z,2019-01-05,4,58
Melbourne Central,2019-01-04T18:00:00Z,2019-01-05,5,30
Melbourne Central,2019-01-04T19:00:00Z,2019-01-05,6,30
Melbourne Central,2019-01-04T20:00:00Z,2019-01-05,7,141
Melbourne Central,2019-01-04T21:00:00Z,2019-01-05,8,164
Melbourne Central,2019-01-04T22:00:00Z,2019-01-05,9,258
Melbourne Central,2019-01-04T23:00:00Z,2019-01-05,10,446
Melbourne Central,2019-01-05T00:00:00Z,2019-01-05,11,624
Melbourne Central,2019-01-05T01:00:00Z,2019-01-05,12,749
Melbourne Central,2019-01-05T02:00:00Z,2019-01-05,13,1116
Melbourne Central,2019-01-05T03:00:00Z,2019-01-05,14,1370
Melbourne Central,2019-01-05T04:00:00Z,2019-01-05,15,1483
Melbourne Central,2019-01-05T05:00:00Z,2019-01-05,16,1347
Melbourne Central,2019-01-05T06:00:00Z,2019-01-05,17,1351
Melbourne Central,2019-01-05T07:00:00Z,2019-01-05,18,1337
Melbourne Central,2019-01-05T08:00:00Z,2019-01-05,19,1466
Melbourne Central,2019-01-05T09:00:00Z,2019-01-05,20,1336
Melbourne Central,2019-01-05T10:00:00Z,2019-01-05,21,1163
Melbourne Central,2019-01-05T11:00:00Z,2019-01-05,22,945
Melbourne Central,2019-01-05T12:00:00Z,2019-01-05,23,627
