project_group,link
AirQuality,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=7d778dee-bdac-4c35-8e40-abd400222d0d
bowerbird,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=0c32abaf-c4e6-47cd-9be0-abd300485966
broom,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=e94de7ad-75e7-420b-b4dc-abd400470683
cyphr,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=b83016b1-311a-4317-814e-abd4003d8f8a
datapasta,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=2c0f78c8-1422-415a-9899-abd3008b0bc9
dataspice,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=3aab9d7f-b477-4c86-b666-abd300f40e0c
dplyr,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=c43033a1-094a-4ad4-abaf-abd40063b35d
drake,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=4a1a2b48-ce4f-424e-bcbd-abd20067ea9b
Epic Gamers,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=97fd418d-f42f-488b-bdbe-abd400090179
fable,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=ed45102c-2054-409d-bac7-abd300d91c32
forcats,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=ba4b0c28-27d7-403d-8813-abd400606328
geodist,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=111593c5-987b-4ccd-ba82-abd40077cd9f
gganimate,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=32c03c6f-74eb-4cda-8393-abd4005a4067
ggplot2,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=868d89ea-8eb0-4d5a-808b-abd300905e56
golem,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=8a288ac4-45dc-47a3-ac98-abd40050b14d
icon,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=4ffabb18-f6e1-4ba8-881f-abd3016322b2
knitr,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=3d2fadd6-9d9b-4223-908e-abd400341bb1
learningtower,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=203cb28c-a888-4623-8944-abd300f80ae8
magick,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=c973780c-89fa-4abd-b578-abd300c247a2
nullabor,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=4a3926de-4a45-41b0-9c1f-abd200b75927
plotly,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=34a92bea-e1bc-4ffd-bdaa-abd300f4e9ec
purrr,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=13a65f27-4270-4738-9fa4-abd4005b6776
quickdraw,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=9685e01d-daf9-466b-8c22-abd4004fd057
RADP,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=537d6c28-6573-4460-b59c-abd100acbf99
reprex,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=2bdfeb45-4379-42db-bc1d-abd4005c2e8c
roomba,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=3945657e-0e7a-4c30-a38d-abd40060b935
sf,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=95267dd9-b7ec-45f7-8b72-abd300a4405d
stringr,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=98d9afea-a199-48bb-9f36-abd3018aba95
sugarbag,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=e1bc3dac-2f2c-4861-80a7-abd3006c1ee6
suggrants,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=c5248fd6-e827-402f-a12b-abd300f41f05
syn,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=6015fae2-53dc-4256-8280-abd40066b443
taipan,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=f7e13fa6-33b0-4e42-b38c-abd40069d834
TALIS,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=e949d094-5bba-4400-9f05-abd300ef0640
tsibble,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=ccc9f40f-8331-4d06-85d5-abd40005c267
vapour,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=b444088d-c1b4-4cb1-b1e0-abd40062c43e
visdat,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=0b700384-6391-494d-b50e-abd400183736
wesanderson,https://monash-panopto.aarnet.edu.au/Panopto/Pages/Viewer.aspx?id=cac23f92-6200-4182-8c05-abd4005f8a44
